i,t_sec,ok_full,cmd,cx_L,cy_L,cx_R,cy_R,disp_px,Xc_cm,Z_cm
1,2.491,1,LEFT,331,296,293,299,38.0,-14.651,179.266
2,2.685,1,LEFT,330,296,292,300,38.0,-14.901,179.266
3,2.88,1,LEFT,330,296,292,300,38.0,-14.901,179.266
4,3.069,1,LEFT,330,296,292,298,38.0,-14.901,179.266
5,3.258,1,LEFT,330,296,293,299,37.0,-15.175,184.111
6,3.457,1,LEFT,330,296,292,300,38.0,-14.901,179.266
7,3.648,1,SHARP LEFT,332,299,308,301,24.0,-20.025,283.838
8,3.837,1,LEFT,348,302,309,304,39.0,-10.249,174.67
9,4.03,1,FORWARD,366,300,327,301,39.0,-5.857,174.67
10,4.221,1,FORWARD,375,300,334,300,41.0,-3.715,166.149
11,4.411,1,FORWARD,379,300,340,301,39.0,-2.685,174.67
12,4.611,1,FORWARD,385,301,344,303,41.0,-1.394,166.149
13,4.81,0,SEARCHING,,,,,,,
14,4.998,0,SEARCHING,,,,,,,
15,5.187,1,SHARP RIGHT,531,306,481,308,50.0,25.788,136.242
16,5.374,0,SEARCHING,,,,,,,
17,5.628,1,SHARP RIGHT,608,298,558,297,50.0,40.442,136.242
18,5.817,0,SEARCHING,,,,,,,
19,6.004,0,SEARCHING,,,,,,,
20,6.191,0,SEARCHING,,,,,,,
21,6.379,0,SEARCHING,,,,,,,
22,6.585,1,SHARP RIGHT,604,307,551,308,53.0,37.165,128.531
23,6.791,1,SHARP RIGHT,593,306,543,305,50.0,37.587,136.242
24,6.987,1,SHARP RIGHT,514,306,459,307,55.0,20.069,123.857
25,7.179,1,SHARP RIGHT,516,307,461,306,55.0,20.415,123.857
26,7.369,1,SHARP RIGHT,516,307,461,306,55.0,20.415,123.857
27,7.569,1,SHARP RIGHT,516,307,465,310,51.0,22.39,133.571
28,7.76,0,SEARCHING,,,,,,,
29,7.952,0,SEARCHING,,,,,,,
30,8.14,0,SEARCHING,,,,,,,
31,8.332,1,SHARP LEFT,61,320,17,318,44.0,-71.695,154.821
32,8.53,0,SEARCHING,,,,,,,
33,8.716,0,SEARCHING,,,,,,,
34,8.901,0,SEARCHING,,,,,,,
35,9.087,0,SEARCHING,,,,,,,
36,9.275,0,SEARCHING,,,,,,,
37,9.471,0,SEARCHING,,,,,,,
38,9.663,0,SEARCHING,,,,,,,
39,9.85,0,SEARCHING,,,,,,,
40,10.037,0,SEARCHING,,,,,,,
41,10.224,0,SEARCHING,,,,,,,
42,10.413,0,SEARCHING,,,,,,,
43,10.667,0,SEARCHING,,,,,,,
44,10.855,0,SEARCHING,,,,,,,
45,11.044,0,SEARCHING,,,,,,,
46,11.229,0,SEARCHING,,,,,,,
47,11.418,0,SEARCHING,,,,,,,
48,11.606,0,SEARCHING,,,,,,,
49,11.799,0,SEARCHING,,,,,,,
50,11.99,0,SEARCHING,,,,,,,
51,12.179,0,SEARCHING,,,,,,,
52,12.366,0,SEARCHING,,,,,,,
53,12.561,0,SEARCHING,,,,,,,
54,12.75,0,SEARCHING,,,,,,,
55,12.935,0,SEARCHING,,,,,,,
56,13.126,1,SHARP LEFT,137,324,74,325,63.0,-40.028,108.129
57,13.318,1,SHARP LEFT,135,324,72,324,63.0,-40.33,108.129
58,13.516,1,SHARP LEFT,135,325,80,326,55.0,-45.505,123.857
59,13.705,1,SHARP LEFT,135,325,81,325,54.0,-46.259,126.15
60,13.896,1,SHARP LEFT,135,325,74,323,61.0,-41.497,111.674
61,14.09,1,SHARP LEFT,136,325,74,324,62.0,-40.751,109.873
62,14.281,1,SHARP LEFT,140,325,94,322,46.0,-52.442,148.09
63,14.476,1,SHARP LEFT,219,321,167,322,52.0,-32.483,131.002
64,14.665,1,FORWARD,358,318,283,318,75.0,-6.345,90.828
65,14.852,0,SEARCHING,,,,,,,
66,15.039,0,SEARCHING,,,,,,,
67,15.225,0,SEARCHING,,,,,,,
68,15.412,0,SEARCHING,,,,,,,
69,15.66,0,SEARCHING,,,,,,,
70,15.849,0,SEARCHING,,,,,,,
71,16.036,0,SEARCHING,,,,,,,
72,16.226,0,SEARCHING,,,,,,,
73,16.414,0,SEARCHING,,,,,,,
74,16.606,0,SEARCHING,,,,,,,
