i,t_sec,ok_full,cmd,cx_L,cy_L,cx_R,cy_R,disp_px,Xc_cm,Z_cm
1,2.559,0,SEARCHING,,,,,,,
2,2.791,0,SEARCHING,342,267,,,,,
3,2.98,0,SEARCHING,,,,,,,
4,3.164,0,SEARCHING,,,,,,,
5,3.348,0,SEARCHING,,,,,,,
6,3.54,0,SEARCHING,,,,,,,
7,3.725,0,SEARCHING,,,,,,,
8,3.91,0,SEARCHING,,,,,,,
9,4.095,0,SEARCHING,,,,,,,
10,4.283,1,FORWARD,342,268,284,265,58.0,-9.435,117.45
11,4.478,0,SEARCHING,342,268,,,,,
12,4.663,0,SEARCHING,342,268,,,,,
13,4.848,1,FORWARD,342,268,284,265,58.0,-9.435,117.45
14,5.037,1,FORWARD,342,268,283,264,59.0,-9.355,115.46
15,5.226,0,SEARCHING,342,268,,,,,
16,5.424,1,FORWARD,341,268,283,264,58.0,-9.599,117.45
17,5.666,0,SEARCHING,,,,,,,
18,5.851,0,SEARCHING,331,268,,,,,
19,6.04,1,LEFT,325,269,265,266,60.0,-11.975,113.535
20,6.23,1,LEFT,317,273,257,269,60.0,-13.244,113.535
21,6.434,0,SEARCHING,319,270,,,,,
22,6.637,1,LEFT,320,272,259,268,61.0,-12.637,111.674
23,6.826,1,LEFT,324,265,256,262,68.0,-11.266,100.178
24,7.011,0,SEARCHING,328,266,,,,,
25,7.197,0,SEARCHING,,,,,,,
26,7.384,1,LEFT,334,267,270,262,64.0,-10.186,106.439
27,7.577,1,FORWARD,348,268,283,265,65.0,-8.053,104.802
28,7.766,1,FORWARD,339,268,274,265,65.0,-9.37,104.802
29,7.954,1,FORWARD,354,267,283,264,71.0,-6.97,95.945
30,8.151,1,FORWARD,378,266,307,262,71.0,-3.753,95.945
31,8.338,1,FORWARD,381,267,315,263,66.0,-3.245,103.214
32,8.54,1,FORWARD,381,268,317,262,64.0,-3.197,106.439
33,8.73,1,FORWARD,375,270,308,266,67.0,-4.119,101.673
34,8.919,1,FORWARD,368,272,301,269,67.0,-5.114,101.673
35,9.108,1,FORWARD,362,269,291,265,71.0,-5.898,95.945
36,9.298,1,FORWARD,347,269,274,267,73.0,-7.822,93.317
37,9.494,1,FORWARD,331,270,255,266,76.0,-9.704,89.633
38,9.686,1,LEFT,320,270,241,267,79.0,-10.842,86.229
39,9.873,1,LEFT,298,268,204,265,94.0,-12.098,72.469
40,10.062,1,LEFT,259,270,176,268,83.0,-17.542,82.074
41,10.249,1,SHARP LEFT,229,272,133,268,96.0,-18.785,70.96
42,10.445,1,SHARP LEFT,190,278,89,273,101.0,-21.765,67.447
43,10.686,1,SHARP LEFT,134,280,31,273,103.0,-26.608,66.137
44,10.873,1,SHARP LEFT,99,279,30,288,69.0,-42.202,98.726
45,11.067,1,SHARP LEFT,89,280,7,290,82.0,-37.426,83.075
46,11.257,0,SEARCHING,73,284,,,,,
47,11.458,0,SEARCHING,73,281,,,,,
48,11.66,1,SHARP LEFT,138,281,19,285,119.0,-23.351,57.245
49,11.855,1,LEFT,216,282,43,274,173.0,-13.257,39.376
50,12.045,1,FORWARD,358,281,229,293,129.0,-5.68,52.807
51,12.237,1,RIGHT,516,284,376,287,140.0,5.132,48.658
52,12.435,0,SEARCHING,,,,,,,
53,12.622,0,SEARCHING,,,,,,,
54,12.81,0,SEARCHING,,,,,,,
55,12.998,0,SEARCHING,,,,,,,
56,13.181,0,SEARCHING,,,,,,,
57,13.369,0,SEARCHING,,,,,,,
58,13.56,0,SEARCHING,,,,,,,
59,13.747,0,SEARCHING,,,,,,,
60,13.933,0,SEARCHING,,,,,,,
61,14.121,0,SEARCHING,,,,,,,
62,14.305,0,SEARCHING,,,,,,,
63,14.497,0,SEARCHING,,,,,,,
64,14.683,0,SEARCHING,,,,,,,
65,14.865,0,SEARCHING,,,,,,,
66,15.05,0,SEARCHING,,,,,,,
67,15.236,0,SEARCHING,,,,,,,
68,15.43,0,SEARCHING,,,,,,,
69,15.672,0,SEARCHING,,,,,,,
70,15.856,0,SEARCHING,,,,,,,
71,16.036,0,SEARCHING,,,,,,,
72,16.22,0,SEARCHING,,,,,,,
73,16.406,0,SEARCHING,,,,,,,
74,16.591,0,SEARCHING,,,,,,,
75,16.798,0,SEARCHING,,,,,,,
76,16.984,0,SEARCHING,,,,,,,
77,17.169,0,SEARCHING,,,,,,,
78,17.356,0,SEARCHING,,,,,,,
79,17.548,0,SEARCHING,,,,,,,
80,17.734,0,SEARCHING,,,,,,,
81,17.919,0,SEARCHING,,,,,,,
82,18.104,0,SEARCHING,,,,,,,
83,18.288,0,SEARCHING,,,,,,,
84,18.478,0,SEARCHING,,,,,,,
85,18.664,0,SEARCHING,,,,,,,
86,18.848,0,SEARCHING,,,,,,,
87,19.036,0,SEARCHING,,,,,,,
88,19.218,0,SEARCHING,,,,,,,
89,19.405,0,SEARCHING,,,,,,,
90,19.594,0,SEARCHING,,,,,,,
91,19.784,0,SEARCHING,,,,,,,
92,19.971,0,SEARCHING,,,,,,,
93,20.155,0,SEARCHING,,,,,,,
94,20.341,0,SEARCHING,,,,,,,
95,20.589,0,SEARCHING,,,,,,,
96,20.778,0,SEARCHING,,,,,,,
97,20.963,0,SEARCHING,,,,,,,
98,21.146,0,SEARCHING,,,,,,,
99,21.329,0,SEARCHING,,,,,,,
100,21.526,0,SEARCHING,,,,,,,
101,21.734,0,SEARCHING,,,,,,,
102,21.95,0,SEARCHING,,,,,,,
103,22.138,0,SEARCHING,,,,,,,
104,22.321,0,SEARCHING,,,,,,,
105,22.516,0,SEARCHING,,,,,,,
106,22.701,0,SEARCHING,,,,,,,
107,22.885,0,SEARCHING,,,,,,,
108,23.071,0,SEARCHING,,,,,,,
109,23.256,0,SEARCHING,,,,,,,
110,23.449,0,SEARCHING,,,,,,,
111,23.636,0,SEARCHING,,,,,,,
112,23.822,0,SEARCHING,,,,,,,
113,24.012,0,SEARCHING,,,,,,,
114,24.202,0,SEARCHING,,,,,,,
115,24.386,0,SEARCHING,,,,,,,
116,24.575,0,SEARCHING,,,,,,,
117,24.763,0,SEARCHING,,,,,,,
118,24.946,0,SEARCHING,,,,,,,
119,25.133,0,SEARCHING,,,,,,,
120,25.316,0,SEARCHING,,,,,,,
121,25.532,0,SEARCHING,,,,,,,
122,25.734,0,SEARCHING,,,,,,,
123,25.918,0,SEARCHING,,,,,,,
124,26.103,0,SEARCHING,,,,,,,
125,26.288,0,SEARCHING,,,,,,,
126,26.484,0,SEARCHING,,,,,,,
127,26.679,0,SEARCHING,,,,,,,
128,26.864,0,SEARCHING,,,,,,,
129,27.048,0,SEARCHING,,,,,,,
130,27.233,0,SEARCHING,,,,,,,
131,27.43,0,SEARCHING,,,,,,,
132,27.614,0,SEARCHING,,,,,,,
133,27.8,0,SEARCHING,,,,,,,
134,27.987,0,SEARCHING,,,,,,,
135,28.174,0,SEARCHING,,,,,,,
136,28.361,0,SEARCHING,,,,,,,
137,28.554,0,SEARCHING,,,,,,,
138,28.74,0,SEARCHING,,,,,,,
139,28.925,0,SEARCHING,,,,,,,
140,29.108,0,SEARCHING,,,,,,,
141,29.292,0,SEARCHING,,,,,,,
142,29.486,0,SEARCHING,,,,,,,
143,29.673,0,SEARCHING,,,,,,,
144,29.857,0,SEARCHING,,,,,,,
145,30.044,0,SEARCHING,,,,,,,
146,30.228,0,SEARCHING,,,,,,,
147,30.423,0,SEARCHING,,,,,,,
148,30.664,0,SEARCHING,,,,,,,
149,30.847,0,SEARCHING,,,,,,,
150,31.028,0,SEARCHING,,,,,,,
151,31.212,0,SEARCHING,,,,,,,
152,31.395,0,SEARCHING,,,,,,,
153,31.581,0,SEARCHING,,,,,,,
154,31.775,0,SEARCHING,,,,,,,
155,31.957,0,SEARCHING,,,,,,,
156,32.142,0,SEARCHING,,,,,,,
157,32.328,0,SEARCHING,,,,,,,
158,32.532,0,SEARCHING,,,,,,,
159,32.715,0,SEARCHING,,,,,,,
160,32.897,0,SEARCHING,,,,,,,
161,33.081,0,SEARCHING,,,,,,,
162,33.265,0,SEARCHING,,,,,,,
163,33.454,0,SEARCHING,,,,,,,
164,33.638,0,SEARCHING,,,,,,,
165,33.827,0,SEARCHING,,,,,,,
166,34.023,0,SEARCHING,,,,,,,
167,34.209,0,SEARCHING,,,,,,,
