i,t_sec,ok_full,cmd,cx_L,cy_L,cx_R,cy_R,disp_px,Xc_cm,Z_cm
1,2.484,0,SEARCHING,,,,,,,
2,2.676,0,SEARCHING,,,,,,,
3,2.868,0,SEARCHING,338,299,,,,,
4,3.093,1,LEFT,339,299,304,303,35.0,-13.324,194.632
5,3.286,1,LEFT,339,299,303,304,36.0,-13.086,189.226
6,3.476,0,SEARCHING,,,,,,,
7,3.668,0,SEARCHING,,,,,,,
8,3.854,0,SEARCHING,,,,,,,
9,4.053,0,SEARCHING,,,,,,,
10,4.243,0,SEARCHING,,,,,,,
11,4.432,0,SEARCHING,,,,,,,
12,4.62,0,SEARCHING,,,,,,,
13,4.805,0,SEARCHING,,,,,,,
14,4.994,1,SHARP LEFT,292,300,258,304,34.0,-26.73,200.356
15,5.188,0,SEARCHING,292,300,,,,,
16,5.377,1,SHARP LEFT,292,300,258,306,34.0,-26.73,200.356
17,5.568,1,SHARP LEFT,292,301,258,303,34.0,-26.73,200.356
18,5.759,0,SEARCHING,292,301,,,,,
19,5.948,0,SEARCHING,292,301,,,,,
20,6.144,0,SEARCHING,,,,,,,
21,6.332,1,LEFT,334,300,298,304,36.0,-14.407,189.226
22,6.522,1,LEFT,334,300,301,304,33.0,-15.285,206.428
23,6.708,0,SEARCHING,,,,,,,
24,6.897,1,SHARP RIGHT,447,298,412,301,35.0,16.04,194.632
25,7.129,0,SEARCHING,,,,,,,
26,7.322,0,SEARCHING,,,,,,,
27,7.512,0,SEARCHING,,,,,,,
28,7.7,0,SEARCHING,,,,,,,
29,7.886,0,SEARCHING,,,,,,,
30,8.083,0,SEARCHING,,,,,,,
31,8.282,0,SEARCHING,,,,,,,
32,8.47,0,SEARCHING,,,,,,,
33,8.658,0,SEARCHING,,,,,,,
34,8.845,0,SEARCHING,,,,,,,
35,9.038,0,SEARCHING,,,,,,,
36,9.227,0,SEARCHING,,,,,,,
37,9.413,0,SEARCHING,,,,,,,
38,9.6,0,SEARCHING,,,,,,,
39,9.788,0,SEARCHING,,,,,,,
40,9.977,0,SEARCHING,,,,,,,
41,10.172,0,SEARCHING,,,,,,,
42,10.36,0,SEARCHING,,,,,,,
43,10.553,0,SEARCHING,,,,,,,
44,10.74,0,SEARCHING,,,,,,,
45,10.932,0,SEARCHING,,,,,,,
46,11.146,0,SEARCHING,,,,,,,
47,11.332,0,SEARCHING,,,,,,,
48,11.524,0,SEARCHING,,,,,,,
49,11.71,0,SEARCHING,,,,,,,
50,11.896,0,SEARCHING,,,,,,,
51,12.143,0,SEARCHING,,,,,,,
52,12.329,0,SEARCHING,,,,,,,
53,12.524,0,SEARCHING,,,,,,,
54,12.713,0,SEARCHING,,,,,,,
55,12.899,0,SEARCHING,,,,,,,
56,13.096,0,SEARCHING,,,,,,,
57,13.293,0,SEARCHING,,,,,,,
58,13.479,0,SEARCHING,,,,,,,
59,13.668,1,SHARP RIGHT,446,299,411,303,35.0,15.768,194.632
60,13.853,0,SEARCHING,,,,,,,
61,14.046,1,SHARP RIGHT,447,298,411,303,36.0,15.462,189.226
62,14.238,1,SHARP RIGHT,448,293,412,301,36.0,15.727,189.226
63,14.442,0,SEARCHING,,,,,,,
64,14.631,0,SEARCHING,445,262,,,,,
65,14.817,0,SEARCHING,428,261,,,,,
66,15.003,0,SEARCHING,385,261,,,,,
67,15.195,0,SEARCHING,384,261,,,,,
68,15.38,0,SEARCHING,302,264,,,,,
69,15.568,0,SEARCHING,224,259,,,,,
70,15.753,0,SEARCHING,,,,,,,
71,15.938,0,SEARCHING,,,,,,,
72,16.131,0,SEARCHING,,,,,,,
73,16.319,1,SHARP LEFT,238,266,204,269,34.0,-41.844,200.356
74,16.505,0,SEARCHING,248,265,,,,,
75,16.693,1,SHARP LEFT,272,259,236,266,36.0,-30.796,189.226
76,16.885,0,SEARCHING,276,257,,,,,
77,17.12,1,SHARP LEFT,282,254,248,261,34.0,-29.529,200.356
78,17.316,0,SEARCHING,286,254,,,,,
79,17.509,0,SEARCHING,316,254,,,,,
80,17.701,1,FORWARD,365,253,331,260,34.0,-6.299,200.356
81,17.891,0,SEARCHING,377,252,,,,,
82,18.09,0,SEARCHING,,,,,,,
83,18.289,0,SEARCHING,418,245,,,,,
84,18.48,1,RIGHT,418,243,380,248,38.0,7.136,179.266
85,18.667,0,SEARCHING,,,,,,,
86,18.856,0,SEARCHING,,,,,,,
87,19.057,0,SEARCHING,345,238,,,,,
88,19.245,0,SEARCHING,345,238,,,,,
89,19.435,0,SEARCHING,347,238,,,,,
90,19.624,0,SEARCHING,339,237,,,,,
91,19.812,0,SEARCHING,299,235,,,,,
92,20.0,1,SHARP LEFT,305,232,270,238,35.0,-22.568,194.632
93,20.193,1,SHARP LEFT,315,227,281,232,34.0,-20.293,200.356
94,20.383,1,SHARP LEFT,319,220,283,225,36.0,-18.372,189.226
95,20.577,1,LEFT,328,207,291,213,37.0,-15.69,184.111
96,20.78,0,SEARCHING,336,197,,,,,
97,20.969,0,SEARCHING,346,186,,,,,
98,21.171,1,FORWARD,356,186,325,191,31.0,-9.21,219.746
99,21.36,0,SEARCHING,457,183,,,,,
100,21.548,0,SEARCHING,,,,,,,
101,21.736,0,SEARCHING,,,,,,,
102,21.922,0,SEARCHING,,,,,,,
103,22.178,0,SEARCHING,,,,,,,
104,22.364,0,SEARCHING,,,,,,,
105,22.553,0,SEARCHING,,,,,,,
106,22.739,0,SEARCHING,,,,,,,
107,22.927,0,SEARCHING,,,,,,,
108,23.127,0,SEARCHING,,,,,,,
109,23.323,0,SEARCHING,,,,,,,
110,23.51,0,SEARCHING,,,,,,,
111,23.696,0,SEARCHING,,,,,,,
112,23.882,0,SEARCHING,,,,,,,
113,24.126,0,SEARCHING,,,,,,,
114,24.313,0,SEARCHING,,,,,,,
115,24.499,0,SEARCHING,,,,,,,
116,24.684,0,SEARCHING,,,,,,,
117,24.871,0,SEARCHING,,,,,,,
118,25.067,0,SEARCHING,,,,,,,
119,25.252,0,SEARCHING,,,,,,,
120,25.439,0,SEARCHING,,,,,,,
121,25.625,0,SEARCHING,,,,,,,
122,25.812,0,SEARCHING,,,,,,,
123,26.0,0,SEARCHING,,,,,,,
124,26.193,0,SEARCHING,,,,,,,
125,26.379,0,SEARCHING,,,,,,,
126,26.568,0,SEARCHING,,,,,,,
127,26.754,0,SEARCHING,,,,,,,
128,26.941,0,SEARCHING,,,,,,,
129,27.198,0,SEARCHING,,,,,,,
130,27.421,0,SEARCHING,,,,,,,
131,27.609,0,SEARCHING,,,,,,,
132,27.795,0,SEARCHING,,,,,,,
133,27.981,0,SEARCHING,,,,,,,
134,28.181,0,SEARCHING,,,,,,,
135,28.374,0,SEARCHING,,,,,,,
136,28.563,0,SEARCHING,,,,,,,
137,28.746,0,SEARCHING,,,,,,,
138,28.937,0,SEARCHING,,,,,,,
139,29.135,0,SEARCHING,,,,,,,
140,29.324,0,SEARCHING,,,,,,,
141,29.515,0,SEARCHING,,,,,,,
142,29.703,0,SEARCHING,,,,,,,
143,29.895,0,SEARCHING,,,,,,,
144,30.089,0,SEARCHING,,,,,,,
145,30.282,0,SEARCHING,,,,,,,
146,30.471,0,SEARCHING,,,,,,,
147,30.667,0,SEARCHING,,,,,,,
148,30.855,0,SEARCHING,,,,,,,
149,31.05,0,SEARCHING,,,,,,,
150,31.237,0,SEARCHING,,,,,,,
151,31.424,0,SEARCHING,,,,,,,
152,31.611,0,SEARCHING,,,,,,,
153,31.798,0,SEARCHING,,,,,,,
154,31.984,0,SEARCHING,,,,,,,
155,32.239,0,SEARCHING,,,,,,,
156,32.441,0,SEARCHING,,,,,,,
157,32.63,0,SEARCHING,,,,,,,
