i,t_sec,cmd,ok_full,Xc_cm,Z_cm,disp_px,cx_L,cx_R
1,0.522,FORWARD,1,-5.51,119.511,57.0,366,309
2,0.718,FORWARD,1,-5.484,115.46,59.0,366,307
3,0.914,FORWARD,1,-5.51,119.511,57.0,366,309
4,1.117,FORWARD,1,-5.51,119.511,57.0,366,309
5,1.311,FORWARD,1,-5.497,117.45,58.0,366,308
6,1.498,FORWARD,1,-5.497,117.45,58.0,366,308
7,1.69,FORWARD,1,-6.033,121.645,56.0,363,307
8,1.882,FORWARD,1,-14.685,117.45,58.0,310,252
9,2.089,SHARP LEFT,1,-48.506,189.226,36.0,205,169
10,2.278,SHARP LEFT,1,-50.991,113.535,60.0,79,19
11,2.468,SEARCHING,0,,,,,
12,2.653,SEARCHING,0,,,,,
13,2.837,SEARCHING,0,,,,,
14,3.032,SEARCHING,0,,,,,
15,3.219,SEARCHING,0,,,,,
16,3.464,SEARCHING,0,,,,,
17,3.648,SEARCHING,0,,,,,
18,3.832,SEARCHING,0,,,,,
19,4.03,SEARCHING,0,,,,,
20,4.216,SEARCHING,0,,,,,
21,4.407,SEARCHING,0,,,,,
22,4.603,SEARCHING,0,,,,,
23,4.788,SEARCHING,0,,,,,
24,4.974,SEARCHING,0,,,,,
25,5.168,SEARCHING,0,,,,,
26,5.355,SEARCHING,0,,,,,
27,5.544,SEARCHING,0,,,,,
28,5.728,SEARCHING,0,,,,,
29,5.914,SEARCHING,0,,,,,
30,6.115,SEARCHING,0,,,,,
31,6.302,SEARCHING,0,,,,,
32,6.492,SEARCHING,0,,,,,
33,6.679,SEARCHING,0,,,,,
34,6.864,SEARCHING,0,,,,,
35,7.065,SEARCHING,0,,,,,
36,7.253,SEARCHING,0,,,,,
37,7.44,SEARCHING,0,,,,,
38,7.625,SEARCHING,0,,,,,
39,7.813,SEARCHING,0,,,,,
40,8.0,SEARCHING,0,,,,,
41,8.193,SEARCHING,0,,,,,
42,8.429,SEARCHING,0,,,,,
43,8.616,SEARCHING,0,,,,,
44,8.803,SEARCHING,0,,,,,
45,8.987,SEARCHING,0,,,,,
46,9.213,SEARCHING,0,,,,,
47,9.404,SEARCHING,0,,,,,
48,9.598,SEARCHING,0,,,,,
49,9.783,SEARCHING,0,,,,,
50,9.968,SEARCHING,0,,,,,
51,10.161,SEARCHING,0,,,,,
52,10.345,SEARCHING,0,,,,,
53,10.531,SEARCHING,0,,,,,
54,10.717,SEARCHING,0,,,,,
55,10.902,SEARCHING,0,,,,,
56,11.101,SEARCHING,0,,,,,
57,11.289,SEARCHING,0,,,,,
58,11.474,SEARCHING,0,,,,,
59,11.659,SEARCHING,0,,,,,
60,11.841,SEARCHING,0,,,,,
61,12.037,SEARCHING,0,,,,,
62,12.226,SEARCHING,0,,,,,
63,12.413,SEARCHING,0,,,,,
64,12.596,SEARCHING,0,,,,,
65,12.779,SEARCHING,0,,,,,
66,12.963,SEARCHING,0,,,,,
67,13.155,SEARCHING,0,,,,,
68,13.37,SEARCHING,0,,,,,
69,13.572,SEARCHING,0,,,,,
70,13.756,SEARCHING,0,,,,,
71,13.943,SEARCHING,0,,,,,
72,14.142,SEARCHING,0,,,,,
73,14.327,SEARCHING,0,,,,,
74,14.525,SEARCHING,0,,,,,
75,14.712,SEARCHING,0,,,,,
76,14.897,SEARCHING,0,,,,,
77,15.092,SEARCHING,0,,,,,
78,15.278,SEARCHING,0,,,,,
79,15.463,SEARCHING,0,,,,,
